date,value_type,value,conf_lo,conf_hi
2012-04-06,actual,185382.53,,
2012-04-13,actual,163875.51,,
2012-04-20,actual,169275.52,,
2012-04-27,actual,148421.24,,
2012-05-04,actual,164361.79,,
2012-05-11,actual,164657.58,,
2012-05-18,actual,173004.56,,
2012-05-25,actual,154709.81,,
2012-06-01,actual,158895.19,,
2012-06-08,actual,175156.23,,
2012-06-15,actual,175591.63,171402.498,174890.1624
2012-06-22,actual,165010.65,166618.4034,179904.4392
2012-06-29,actual,158698.61,146566.7253,156564.9409
2012-07-06,actual,174602.62,157599.5617,180637.2487
2012-07-13,actual,170507.73,161435.6421,175213.0668
2012-07-20,actual,171958.27,157395.1856,180159.6196
2012-07-27,actual,156710.91,149328.4439,162487.4792
2012-08-03,actual,166267.55,158676.7524,181854.0207
2012-08-10,actual,172350.05,159613.5771,174734.7385
2012-08-17,actual,173825.85,162715.9948,176659.0451
2012-08-24,actual,168317.08,161103.0331,183987.0466
2012-08-31,actual,158089.61,139061.3609,170055.5866
2012-09-07,actual,177978.85,164529.0312,188476.1084
2012-09-14,actual,180938.15,167921.2767,182921.7196
2012-09-21,actual,176024.88,163558.6261,177774.5678
2012-09-28,actual,163451.36,154068.353,164718.4825
2012-10-05,actual,186274.98,178627.8159,181108.4913
2012-10-12,actual,179526.95,169047.267,187462.5558
2012-10-19,actual,177406.75,169418.7678,187057.4795
2012-10-26,actual,164891.82,158053.7872,168902.8061
2012-06-15,prediction,173146.3302,171402.498,174890.1624
2012-06-22,prediction,173261.4213,166618.4034,179904.4392
2012-06-29,prediction,151565.8331,146566.7253,156564.9409
2012-07-06,prediction,169118.4052,157599.5617,180637.2487
2012-07-13,prediction,168324.3544,161435.6421,175213.0668
2012-07-20,prediction,168777.4026,157395.1856,180159.6196
2012-07-27,prediction,155907.9616,149328.4439,162487.4792
2012-08-03,prediction,170265.3866,158676.7524,181854.0207
2012-08-10,prediction,167174.1578,159613.5771,174734.7385
2012-08-17,prediction,169687.5199,162715.9948,176659.0451
2012-08-24,prediction,172545.0398,161103.0331,183987.0466
2012-08-31,prediction,154558.4738,139061.3609,170055.5866
2012-09-07,prediction,176502.5698,164529.0312,188476.1084
2012-09-14,prediction,175421.4982,167921.2767,182921.7196
2012-09-21,prediction,170666.597,163558.6261,177774.5678
2012-09-28,prediction,159393.4178,154068.353,164718.4825
2012-10-05,prediction,179868.1536,178627.8159,181108.4913
2012-10-12,prediction,178254.9114,169047.267,187462.5558
2012-10-19,prediction,178238.1236,169418.7678,187057.4795
2012-10-26,prediction,163478.2967,158053.7872,168902.8061
